Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value,negative,neutral,positive,total_articles,Target_Label
2025-04-10,7.3,6.93%,112.6,112.6,112.6,112.6,112.6,"1,005,400","113,208,041",0.0,1.0,3.0,4.0,
2025-04-09,0.2,0.19%,97.8,108.0,97.8,105.3,104.03,"18,389,300","1,917,798,399",0.0,0.0,2.0,2.0,1.0
2025-04-08,-7.9,-6.99%,106.0,108.0,105.1,105.1,105.35,"16,591,400","1,749,661,610",1.0,2.0,1.0,4.0,1.0
2025-04-04,-0.5,-0.44%,105.6,113.9,105.6,113.0,107.74,"21,849,500","2,357,532,700",1.0,1.0,1.0,3.0,-1.0
2025-04-03,-8.5,-6.97%,114.7,117.6,113.5,113.5,114.8,"11,574,900","1,328,720,460",1.0,2.0,3.0,6.0,-1.0
2025-04-02,1.5,1.24%,121.2,122.3,120.8,122.0,121.7,"3,920,200","477,086,050",1.0,0.0,1.0,2.0,-1.0
2025-04-01,-0.5,-0.41%,122.0,122.2,118.8,120.5,120.02,"8,304,728","997,483,384",2.0,2.0,3.0,7.0,1.0
2025-03-31,-3.0,-2.42%,123.4,123.4,121.0,121.0,122.24,"5,519,302","674,890,661",2.0,2.0,2.0,6.0,-1.0
2025-03-28,-2.2,-1.74%,126.1,126.4,124.0,124.0,124.74,"3,027,000","377,336,100",2.0,1.0,0.0,3.0,-1.0
2025-03-27,3.2,2.60%,122.0,126.5,121.1,126.2,124.01,"7,224,400","896,749,210",1.0,2.0,2.0,5.0,-1.0
2025-03-26,-3.5,-2.77%,126.5,126.5,122.7,123.0,124.17,"11,419,201","1,419,319,168",2.0,2.0,2.0,6.0,1.0
2025-03-25,-2.5,-1.94%,129.8,129.9,126.5,126.5,127.47,"5,629,200","717,571,380",1.0,1.0,4.0,6.0,-1.0
2025-03-24,1.0,0.78%,128.5,129.3,127.3,129.0,128.38,"5,090,200","653,501,990",1.0,3.0,1.0,5.0,-1.0
2025-03-21,3.0,2.40%,125.0,129.0,125.0,128.0,127.66,"6,424,800","820,204,250",0.0,2.0,0.0,2.0,1.0
2025-03-20,0.4,0.32%,124.6,126.8,124.5,125.0,125.22,"8,708,600","1,090,457,352",1.0,4.0,2.0,7.0,1.0
2025-03-19,-5.4,-4.15%,130.1,130.6,123.5,124.6,126.25,"19,264,400","2,435,625,550",0.0,2.0,3.0,5.0,1.0
2025-03-18,0.0,0.00%,130.1,132.2,130.0,130.0,130.66,"5,628,500","735,263,800",2.0,1.0,2.0,5.0,-1.0
2025-03-17,-1.4,-1.07%,131.6,132.1,129.6,130.0,130.45,"7,623,000","993,978,450",0.0,1.0,1.0,2.0,0.0
