Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,7.30,6.93%,112.60,112.60,112.60,112.60,112.60,"1,005,400","113,208,041"
09/04/2025,0.20,0.19%,97.80,108.00,97.80,105.30,104.03,"18,389,300","1,917,798,399"
08/04/2025,-7.90,-6.99%,106.00,108.00,105.10,105.10,105.35,"16,591,400","1,749,661,610"
04/04/2025,-0.50,-0.44%,105.60,113.90,105.60,113.00,107.74,"21,849,500","2,357,532,700"
03/04/2025,-8.50,-6.97%,114.70,117.60,113.50,113.50,114.80,"11,574,900","1,328,720,460"
02/04/2025,1.50,1.24%,121.20,122.30,120.80,122.00,121.70,"3,920,200","477,086,050"
01/04/2025,-0.50,-0.41%,122.00,122.20,118.80,120.50,120.02,"8,304,728","997,483,384"
31/03/2025,-3.00,-2.42%,123.40,123.40,121.00,121.00,122.24,"5,519,302","674,890,661"
28/03/2025,-2.20,-1.74%,126.10,126.40,124.00,124.00,124.74,"3,027,000","377,336,100"
27/03/2025,3.20,2.60%,122.00,126.50,121.10,126.20,124.01,"7,224,400","896,749,210"
26/03/2025,-3.50,-2.77%,126.50,126.50,122.70,123.00,124.17,"11,419,201","1,419,319,168"
25/03/2025,-2.50,-1.94%,129.80,129.90,126.50,126.50,127.47,"5,629,200","717,571,380"
24/03/2025,1.00,0.78%,128.50,129.30,127.30,129.00,128.38,"5,090,200","653,501,990"
21/03/2025,3.00,2.40%,125.00,129.00,125.00,128.00,127.66,"6,424,800","820,204,250"
20/03/2025,0.40,0.32%,124.60,126.80,124.50,125.00,125.22,"8,708,600","1,090,457,352"
19/03/2025,-5.40,-4.15%,130.10,130.60,123.50,124.60,126.25,"19,264,400","2,435,625,550"
18/03/2025,0.00,0.00%,130.10,132.20,130.00,130.00,130.66,"5,628,500","735,263,800"
17/03/2025,-1.40,-1.07%,131.60,132.10,129.60,130.00,130.45,"7,623,000","993,978,450"
14/03/2025,-5.10,-3.74%,135.60,136.30,130.80,131.40,132.63,"16,251,000","2,155,395,960"
13/03/2025,0.60,0.44%,136.10,138.00,136.10,136.50,137.03,"3,710,200","508,421,910"
12/03/2025,-1.60,-1.16%,137.70,138.70,135.90,135.90,136.59,"6,365,000","869,999,350"
11/03/2025,-1.80,-1.29%,138.00,138.50,137.00,137.50,137.80,"6,164,400","849,430,540"
10/03/2025,-2.10,-1.49%,141.50,141.50,139.20,139.30,140.01,"5,681,900","796,168,000"
07/03/2025,-0.20,-0.14%,141.70,142.70,141.10,141.40,141.68,"3,436,000","486,820,709"
06/03/2025,2.50,1.80%,139.50,143.50,139.50,141.60,141.46,"6,511,400","921,080,725"
05/03/2025,-0.90,-0.64%,140.00,140.10,139.10,139.10,139.62,"2,851,100","398,057,860"
04/03/2025,-0.50,-0.36%,139.50,140.60,139.30,140.00,139.90,"3,471,300","485,622,530"
03/03/2025,0.20,0.14%,140.50,141.40,140.30,140.50,140.74,"2,933,900","412,898,750"
28/02/2025,-1.00,-0.71%,140.10,141.10,139.00,140.30,139.71,"6,943,200","970,676,708"
27/02/2025,-0.50,-0.35%,142.00,142.20,140.70,141.30,141.18,"3,921,700","553,708,860"
26/02/2025,2.80,2.01%,139.10,141.80,138.90,141.80,140.28,"3,973,500","557,543,227"
25/02/2025,-1.50,-1.07%,140.40,140.40,138.20,139.00,138.81,"7,334,400","1,018,327,760"
24/02/2025,-1.50,-1.06%,142.00,142.00,139.50,140.50,140.36,"7,517,901","1,055,207,192"
21/02/2025,-1.00,-0.70%,142.80,142.90,141.50,142.00,141.95,"5,332,600","756,982,130"
20/02/2025,-1.00,-0.69%,144.20,144.60,143.00,143.00,143.35,"3,385,400","485,313,120"
19/02/2025,0.10,0.07%,143.90,144.90,143.10,144.00,143.58,"3,469,801","498,207,104"
18/02/2025,0.30,0.21%,143.80,144.40,143.10,143.90,143.77,"1,664,400","239,297,440"
17/02/2025,-1.30,-0.90%,145.00,145.00,143.40,143.60,143.79,"2,816,300","401,807,240"
14/02/2025,1.80,1.26%,144.00,145.00,143.60,144.90,144.61,"3,251,709","470,242,828"
13/02/2025,-1.90,-1.31%,145.00,145.00,142.70,143.10,143.51,"3,248,100","465,945,808"
12/02/2025,-0.40,-0.28%,145.60,145.70,144.30,145.00,144.98,"2,035,451","293,775,266"
11/02/2025,3.40,2.39%,142.20,145.40,140.10,145.40,142.49,"7,361,400","1,028,164,770"
10/02/2025,-4.10,-2.81%,145.50,145.50,142.00,142.00,143.27,"7,749,600","1,110,284,000"
07/02/2025,-0.40,-0.27%,146.50,146.70,145.80,146.10,146.03,"4,365,900","637,557,070"
06/02/2025,0.20,0.14%,147.00,147.30,145.60,146.50,146.21,"3,724,601","544,308,216"
05/02/2025,0.10,0.07%,146.90,147.50,145.80,146.30,146.56,"5,344,100","783,416,940"
04/02/2025,0.70,0.48%,146.00,147.00,145.30,146.20,146.05,"7,250,700","1,064,371,880"
03/02/2025,-7.90,-5.15%,148.00,149.20,145.30,145.50,147.00,"12,863,200","1,890,880,730"
24/01/2025,-0.90,-0.58%,154.10,154.50,153.40,153.40,153.70,"3,950,706","607,610,341"
23/01/2025,4.60,3.07%,150.10,156.00,150.00,154.30,153.95,"8,459,101","1,299,118,061"
22/01/2025,-0.20,-0.13%,149.60,150.60,149.20,149.70,149.78,"4,066,602","609,376,849"
21/01/2025,-0.10,-0.07%,150.50,151.40,149.00,149.90,150.13,"3,475,801","522,390,465"
20/01/2025,1.00,0.67%,149.00,150.40,148.20,150.00,149.68,"2,297,711","343,044,955"
17/01/2025,2.50,1.71%,146.60,150.10,146.00,149.00,148.24,"3,900,004","578,061,775"
16/01/2025,1.00,0.69%,146.20,147.00,145.20,146.50,146.13,"3,856,703","563,585,257"
15/01/2025,0.40,0.28%,146.00,146.50,144.80,145.50,145.31,"3,450,803","502,572,355"
14/01/2025,-2.50,-1.69%,147.60,148.00,145.10,145.10,145.81,"4,304,503","633,194,442"
13/01/2025,0.30,0.20%,146.10,148.50,144.70,147.60,146.50,"5,156,707","755,429,570"
10/01/2025,-1.50,-1.01%,148.80,149.10,147.20,147.30,148.11,"2,737,703","405,427,205"
09/01/2025,0.50,0.34%,148.30,149.20,148.00,148.80,148.46,"1,964,401","291,101,718"
08/01/2025,-1.80,-1.20%,150.00,150.00,148.10,148.30,148.64,"3,879,902","576,712,079"
07/01/2025,0.80,0.54%,149.50,151.30,149.50,150.10,150.54,"4,053,304","610,786,146"
06/01/2025,0.30,0.20%,149.10,150.20,148.40,149.30,149.32,"3,467,104","517,719,034"
03/01/2025,-3.00,-1.97%,151.30,151.30,149.00,149.00,150.17,"6,446,104","968,671,896"
02/01/2025,-0.50,-0.33%,152.50,152.70,150.10,152.00,150.98,"6,190,801","930,773,892"
31/12/2024,2.00,1.33%,150.70,153.90,150.30,152.50,152.31,"4,803,202","732,417,350"
30/12/2024,0.90,0.60%,149.40,150.80,148.50,150.50,149.76,"3,195,406","480,544,575"
27/12/2024,-0.20,-0.13%,149.50,149.90,148.70,149.60,149.22,"4,611,705","690,788,297"
26/12/2024,-1.00,-0.66%,151.00,151.40,149.10,149.80,149.90,"2,943,303","441,107,701"
25/12/2024,0.40,0.27%,150.60,151.20,150.40,150.80,150.77,"4,668,104","698,840,460"
24/12/2024,0.60,0.40%,150.00,150.80,149.40,150.40,150.03,"4,037,903","607,237,388"
23/12/2024,0.30,0.20%,149.50,149.90,148.70,149.80,149.16,"4,310,913","648,105,430"
20/12/2024,1.40,0.95%,148.50,150.60,148.30,149.50,149.73,"4,735,902","710,815,926"
19/12/2024,-0.60,-0.40%,147.30,149.00,147.20,148.10,148.00,"5,825,454","864,563,788"
18/12/2024,0.70,0.47%,148.00,149.80,148.00,148.70,149.08,"3,539,440","526,858,208"
17/12/2024,-1.90,-1.27%,150.10,150.50,147.70,148.00,148.88,"7,365,505","1,100,732,828"
16/12/2024,0.40,0.27%,149.60,150.60,149.50,149.90,150.00,"5,671,112","856,141,869"
13/12/2024,-0.70,-0.47%,149.50,150.90,149.40,149.50,149.99,"4,864,805","733,166,799"
12/12/2024,-0.30,-0.20%,151.90,151.90,149.20,150.20,150.16,"5,657,907","854,566,700"
11/12/2024,1.00,0.67%,150.00,151.70,149.70,150.50,150.78,"9,266,607","1,402,471,944"
10/12/2024,2.50,1.70%,147.10,149.50,147.00,149.50,148.31,"4,287,206","637,205,761"
09/12/2024,-2.50,-1.67%,149.20,149.50,146.10,147.00,147.05,"5,899,005","878,028,386"
06/12/2024,1.00,0.67%,151.90,151.90,148.00,149.50,149.51,"5,003,200","748,645,550"
05/12/2024,5.00,3.48%,144.00,148.50,143.60,148.50,145.82,"8,805,101","1,290,825,278"
04/12/2024,-1.50,-1.03%,145.00,146.30,142.80,143.50,145.08,"7,749,101","1,128,988,685"
03/12/2024,2.80,1.97%,141.70,145.90,141.70,145.00,143.87,"6,971,700","1,003,777,970"
02/12/2024,-1.10,-0.77%,144.30,146.00,141.60,142.20,143.49,"7,940,530","1,144,117,659"
29/11/2024,4.90,3.52%,139.40,145.40,139.00,144.30,142.59,"13,487,700","1,924,458,610"
28/11/2024,0.50,0.36%,139.40,140.00,138.30,139.40,139.23,"7,158,700","993,870,340"
27/11/2024,3.70,2.74%,135.20,139.70,135.20,138.90,138.38,"13,316,300","1,835,254,790"
26/11/2024,1.30,0.97%,133.40,135.90,133.30,135.20,134.78,"4,501,100","607,440,550"
25/11/2024,0.00,0.00%,134.00,134.00,133.20,133.90,133.70,"6,637,700","910,555,890"
22/11/2024,0.90,0.68%,132.90,134.40,132.50,133.90,133.67,"5,575,900","755,990,740"
21/11/2024,0.60,0.45%,132.40,133.00,131.00,133.00,131.95,"4,329,001","565,732,991"
20/11/2024,2.40,1.85%,130.00,132.40,126.70,132.40,129.08,"9,620,300","1,247,809,090"
19/11/2024,-4.00,-2.99%,133.50,133.60,129.90,130.00,130.95,"9,152,800","1,211,171,830"
18/11/2024,0.10,0.07%,134.00,134.60,132.50,134.00,133.47,"3,993,401","533,014,925"
15/11/2024,-2.10,-1.54%,135.30,135.70,132.60,133.90,133.80,"6,563,600","878,197,040"
14/11/2024,-1.80,-1.31%,137.90,139.90,136.00,136.00,137.82,"4,911,301","676,811,978"
13/11/2024,1.00,0.73%,136.70,138.10,136.10,137.80,137.28,"3,625,400","497,656,660"
12/11/2024,-1.50,-1.08%,138.60,138.90,135.90,136.80,136.84,"2,964,700","405,661,120"
11/11/2024,2.50,1.84%,136.50,139.50,136.00,138.30,137.67,"5,292,000","728,542,920"
08/11/2024,0.70,0.52%,136.10,136.80,135.10,135.80,135.83,"2,106,300","286,090,860"
07/11/2024,0.50,0.37%,135.30,137.60,134.20,135.10,135.81,"4,526,500","614,647,840"
06/11/2024,2.00,1.51%,133.10,134.60,133.00,134.60,134.00,"1,801,500","241,407,800"
05/11/2024,-0.20,-0.15%,133.00,134.00,132.30,132.60,132.78,"2,741,100","366,994,220"
04/11/2024,-1.80,-1.34%,134.60,134.60,132.70,132.80,133.23,"3,757,900","501,176,670"
01/11/2024,-1.30,-0.96%,135.00,135.00,133.60,134.60,134.30,"2,667,500","358,246,220"
31/10/2024,0.00,0.00%,135.90,136.00,135.30,135.90,135.66,"1,341,700","182,016,090"
30/10/2024,0.50,0.37%,135.40,135.90,135.20,135.90,135.56,"2,059,800","279,238,750"
29/10/2024,0.50,0.37%,135.40,135.50,134.80,135.40,135.02,"2,649,200","357,688,450"
28/10/2024,0.90,0.67%,134.10,135.00,133.60,134.90,134.56,"1,506,001","202,644,265"
25/10/2024,-0.30,-0.22%,134.30,134.60,133.60,134.00,133.92,"1,839,000","246,286,720"
24/10/2024,0.10,0.07%,134.20,134.30,133.80,134.30,134.10,"2,277,201","305,373,005"
23/10/2024,1.10,0.83%,132.90,134.80,132.60,134.20,133.82,"3,015,101","403,480,694"
22/10/2024,-2.40,-1.77%,135.70,135.70,133.00,133.10,134.20,"6,174,500","828,774,903"
21/10/2024,-1.50,-1.09%,137.00,137.70,135.50,135.50,136.60,"2,861,300","390,792,600"
18/10/2024,0.00,0.00%,137.40,137.80,136.60,137.00,137.15,"2,169,401","297,523,788"
17/10/2024,0.70,0.51%,136.50,137.10,135.50,137.00,136.32,"3,769,200","518,205,580"
16/10/2024,-0.70,-0.51%,136.40,137.10,136.00,136.30,136.48,"2,796,001","381,673,038"
15/10/2024,-0.60,-0.44%,137.60,138.60,136.60,137.00,137.37,"2,910,800","400,187,880"
14/10/2024,-2.00,-1.43%,141.10,141.30,137.10,137.60,138.67,"5,635,300","781,315,740"
11/10/2024,-2.10,-1.48%,142.00,142.80,139.60,139.60,140.59,"3,863,600","543,220,540"
10/10/2024,6.30,4.65%,135.80,142.00,135.80,141.70,139.87,"10,102,200","1,412,918,200"
09/10/2024,1.60,1.20%,134.30,135.80,134.30,135.40,135.23,"2,819,900","381,343,240"
08/10/2024,-0.30,-0.22%,134.10,135.10,133.60,133.80,134.13,"2,108,601","282,819,695"
07/10/2024,0.00,0.00%,134.20,134.90,133.60,134.10,134.04,"1,330,500","178,342,890"
04/10/2024,0.10,0.07%,134.30,134.80,133.50,134.10,134.02,"1,468,400","196,794,570"
03/10/2024,-1.40,-1.03%,135.40,136.10,134.00,134.00,135.20,"2,300,800","311,077,850"
02/10/2024,-0.50,-0.37%,134.60,135.90,134.60,135.40,135.41,"1,719,800","232,879,530"
01/10/2024,1.40,1.04%,134.70,136.20,134.70,135.90,135.91,"6,887,000","936,206,291"
30/09/2024,0.30,0.22%,134.20,134.50,133.00,134.50,133.60,"3,278,500","438,011,070"
27/09/2024,-0.10,-0.07%,134.30,134.40,133.50,134.20,133.87,"3,552,800","475,614,870"
26/09/2024,-0.50,-0.37%,135.00,135.00,133.90,134.30,134.29,"3,080,600","413,685,750"
25/09/2024,0.30,0.22%,134.30,134.80,133.60,134.80,134.24,"4,679,900","628,229,610"
24/09/2024,0.50,0.37%,134.00,134.70,133.70,134.50,134.05,"2,755,516","367,916,925"
23/09/2024,-1.30,-0.96%,135.90,135.90,133.40,134.00,134.31,"3,482,200","462,669,610"
20/09/2024,0.10,0.07%,136.30,137.00,135.00,135.30,136.13,"3,719,700","506,352,410"
19/09/2024,0.60,0.45%,135.00,135.80,134.30,135.20,135.01,"5,154,300","695,884,410"
18/09/2024,1.70,1.28%,133.40,135.20,132.90,134.60,134.35,"5,449,600","731,997,010"
17/09/2024,1.80,1.37%,131.20,132.90,131.20,132.90,132.26,"3,621,400","482,742,610"
16/09/2024,-1.90,-1.43%,131.80,133.00,131.10,131.10,131.62,"1,915,700","252,145,010"
13/09/2024,0.70,0.53%,132.20,133.40,132.00,133.00,132.98,"3,935,700","523,101,442"
