Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,1.65,6.96%,25.35,25.35,25.35,25.35,25.35,"654,200","16,583,970"
09/04/2025,-1.75,-6.88%,23.70,25.45,23.70,23.70,23.89,"26,336,200","629,069,795"
08/04/2025,-1.90,-6.95%,26.20,27.00,25.45,25.45,25.62,"9,271,800","237,528,205"
04/04/2025,-1.30,-4.54%,26.65,28.00,26.65,27.35,26.89,"26,236,000","705,543,440"
03/04/2025,-2.15,-6.98%,29.50,30.00,28.65,28.65,29.03,"23,358,800","678,207,840"
02/04/2025,-0.10,-0.32%,30.95,31.15,30.80,30.80,30.95,"7,039,500","217,844,260"
01/04/2025,0.30,0.98%,30.80,30.95,30.50,30.90,30.69,"6,585,300","202,073,170"
31/03/2025,-0.30,-0.97%,30.60,31.05,30.60,30.60,30.79,"7,432,100","228,835,745"
28/03/2025,0.30,0.98%,30.60,31.50,30.35,30.90,30.70,"10,914,400","335,239,240"
27/03/2025,-0.60,-1.92%,31.05,31.20,30.60,30.60,30.85,"14,487,900","446,985,785"
26/03/2025,-0.65,-2.04%,31.80,32.00,30.90,31.20,31.43,"17,106,600","537,705,810"
25/03/2025,-0.55,-1.70%,32.50,32.60,31.80,31.85,32.21,"8,218,500","264,714,060"
24/03/2025,0.55,1.73%,31.85,32.40,31.35,32.40,31.82,"9,866,300","313,907,175"
21/03/2025,-0.20,-0.62%,32.00,32.15,31.85,31.85,31.96,"7,719,400","246,782,670"
20/03/2025,0.10,0.31%,32.00,32.45,31.70,32.05,32.03,"8,154,100","261,145,460"
19/03/2025,0.20,0.63%,31.65,32.00,31.35,31.95,31.70,"10,822,700","343,039,065"
18/03/2025,-0.55,-1.70%,32.35,32.40,31.75,31.75,32.04,"8,627,900","276,524,925"
17/03/2025,0.50,1.57%,32.00,32.30,31.80,32.30,32.02,"5,518,900","176,712,525"
14/03/2025,0.00,0.00%,31.70,32.00,31.50,31.80,31.79,"9,617,000","305,901,545"
13/03/2025,-0.35,-1.09%,32.20,32.50,31.70,31.80,32.04,"12,120,300","388,283,080"
12/03/2025,-0.25,-0.77%,32.60,32.65,32.10,32.15,32.35,"7,359,500","237,976,050"
11/03/2025,0.25,0.78%,31.70,32.40,31.70,32.40,32.02,"11,437,300","366,089,370"
10/03/2025,-0.15,-0.46%,32.45,32.70,31.90,32.15,32.26,"12,147,400","391,670,675"
07/03/2025,-0.15,-0.46%,32.65,32.65,32.30,32.30,32.46,"7,119,800","231,028,110"
06/03/2025,1.15,3.67%,31.50,32.50,31.45,32.45,31.97,"16,832,500","537,975,145"
05/03/2025,-0.30,-0.95%,31.60,32.35,31.30,31.30,31.82,"13,097,700","416,747,295"
04/03/2025,0.10,0.32%,31.50,31.75,30.80,31.60,31.36,"10,569,900","331,479,235"
03/03/2025,0.35,1.12%,31.05,31.85,31.00,31.50,31.48,"12,047,800","379,272,055"
