Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,1.45,6.81%,22.75,22.75,22.75,22.75,22.75,"3,062,400","69,669,601"
09/04/2025,-1.60,-6.99%,21.30,22.30,21.30,21.30,21.41,"77,553,004","1,661,287,615"
08/04/2025,-1.70,-6.91%,23.50,24.00,22.90,22.90,23.02,"36,625,305","843,942,970"
04/04/2025,-0.75,-2.96%,23.60,24.85,23.60,24.60,24.08,"73,385,603","1,767,638,076"
03/04/2025,-1.90,-6.97%,25.80,26.45,25.35,25.35,25.73,"81,437,802","2,095,858,756"
02/04/2025,0.25,0.93%,27.15,27.40,27.10,27.25,27.24,"16,872,403","459,702,225"
01/04/2025,0.25,0.93%,26.80,27.05,26.75,27.00,26.89,"14,420,607","388,199,314"
31/03/2025,-0.40,-1.47%,27.05,27.10,26.75,26.75,26.90,"27,439,500","738,262,270"
28/03/2025,-0.35,-1.27%,27.45,27.50,27.10,27.15,27.25,"17,472,400","476,503,035"
27/03/2025,-0.05,-0.18%,27.70,27.70,27.45,27.50,27.58,"21,572,700","589,893,165"
26/03/2025,0.35,1.29%,27.20,27.95,27.15,27.55,27.58,"44,230,000","1,219,831,020"
25/03/2025,0.05,0.18%,27.25,27.40,27.10,27.20,27.24,"32,161,000","875,122,490"
24/03/2025,0.00,0.00%,27.15,27.25,26.90,27.15,27.05,"19,489,800","527,921,425"
21/03/2025,0.00,0.00%,27.10,27.25,27.05,27.15,27.15,"22,219,412","603,656,723"
20/03/2025,-0.10,-0.37%,27.30,27.45,27.05,27.15,27.15,"25,022,514","679,454,355"
19/03/2025,-0.35,-1.27%,27.60,27.60,27.10,27.25,27.33,"38,755,807","1,059,205,500"
18/03/2025,-0.25,-0.90%,27.90,28.05,27.60,27.60,27.80,"18,741,791","520,994,269"
17/03/2025,0.30,1.09%,27.90,28.15,27.75,27.85,27.96,"19,739,705","551,958,693"
14/03/2025,-0.15,-0.54%,27.70,27.85,27.55,27.55,27.66,"19,079,904","527,714,063"
13/03/2025,-0.10,-0.36%,27.85,28.05,27.70,27.70,27.86,"24,829,403","691,738,143"
12/03/2025,-0.35,-1.24%,28.20,28.20,27.80,27.80,27.95,"20,820,604","582,091,205"
11/03/2025,0.20,0.72%,27.60,28.15,27.60,28.15,27.90,"26,088,505","727,869,830"
10/03/2025,-0.10,-0.36%,28.10,28.20,27.95,27.95,28.05,"23,863,523","669,429,500"
07/03/2025,0.10,0.36%,28.00,28.10,27.75,28.05,27.94,"33,131,214","925,830,989"
06/03/2025,0.40,1.45%,27.60,27.95,27.60,27.95,27.82,"37,159,607","1,033,835,920"
05/03/2025,-0.30,-1.08%,27.85,27.90,27.55,27.55,27.68,"30,385,500","841,132,890"
04/03/2025,-0.20,-0.71%,28.05,28.05,27.65,27.85,27.89,"27,704,100","772,602,485"
03/03/2025,0.05,0.18%,28.05,28.25,28.00,28.05,28.11,"22,228,701","624,695,626"
28/02/2025,-0.45,-1.58%,28.40,28.40,27.95,28.00,28.13,"25,182,609","708,504,399"
27/02/2025,0.70,2.52%,27.80,28.45,27.60,28.45,28.07,"52,685,805","1,476,309,959"
26/02/2025,0.25,0.91%,27.60,27.95,27.55,27.75,27.74,"32,319,608","896,652,070"
25/02/2025,-0.20,-0.72%,27.60,27.70,27.20,27.50,27.41,"33,168,804","909,132,963"
24/02/2025,1.25,4.73%,28.30,28.30,27.55,27.70,27.99,"74,091,112","2,073,704,290"
