Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,1.40,6.78%,22.05,22.05,22.05,22.05,22.05,"1,687,200","37,202,760"
09/04/2025,-0.25,-1.20%,19.45,21.40,19.45,20.65,20.32,"61,224,588","1,244,296,294"
08/04/2025,-1.55,-6.90%,21.15,21.90,20.90,20.90,20.96,"67,768,611","1,419,932,867"
04/04/2025,-0.20,-0.88%,21.10,22.45,21.10,22.45,21.58,"75,397,787","1,630,026,111"
03/04/2025,-1.70,-6.98%,23.60,23.70,22.65,22.65,23.03,"87,853,102","2,022,884,895"
02/04/2025,-0.25,-1.02%,24.60,24.65,24.35,24.35,24.51,"10,558,903","259,065,489"
01/04/2025,0.50,2.07%,24.15,24.60,24.00,24.60,24.26,"15,642,910","380,072,865"
31/03/2025,0.20,0.84%,23.85,24.10,23.80,24.10,23.95,"19,358,101","463,754,660"
28/03/2025,0.00,0.00%,24.00,24.10,23.80,23.90,23.91,"16,254,000","389,852,881"
27/03/2025,-0.10,-0.42%,24.00,24.10,23.90,23.90,23.96,"13,025,800","312,320,680"
26/03/2025,-0.20,-0.83%,24.15,24.40,24.00,24.00,24.18,"18,277,300","442,013,000"
25/03/2025,-0.20,-0.82%,24.50,24.55,24.15,24.20,24.35,"16,673,902","407,968,665"
24/03/2025,0.10,0.41%,24.30,24.40,23.95,24.40,24.21,"18,367,901","445,374,269"
21/03/2025,0.05,0.21%,24.30,24.50,24.20,24.30,24.34,"18,167,509","442,832,298"
20/03/2025,0.40,1.68%,24.00,24.35,23.90,24.25,24.12,"22,462,206","542,018,375"
19/03/2025,-0.05,-0.21%,23.90,24.00,23.70,23.85,23.85,"22,227,808","530,725,536"
18/03/2025,-0.40,-1.65%,24.40,24.40,23.90,23.90,24.10,"28,146,986","679,869,783"
17/03/2025,0.00,0.00%,24.40,24.45,24.10,24.30,24.24,"27,206,507","660,350,627"
14/03/2025,0.00,0.00%,24.25,24.45,24.15,24.30,24.27,"20,034,014","486,278,841"
13/03/2025,-0.30,-1.22%,24.65,24.70,24.20,24.30,24.49,"25,644,110","630,615,792"
12/03/2025,-0.20,-0.81%,24.90,25.00,24.60,24.60,24.75,"33,557,614","833,343,253"
11/03/2025,0.30,1.22%,24.20,24.80,24.15,24.80,24.47,"28,304,215","694,427,834"
10/03/2025,0.00,0.00%,24.75,24.90,24.45,24.50,24.62,"19,469,651","479,309,113"
07/03/2025,0.40,1.66%,24.25,24.90,24.10,24.50,24.52,"50,980,627","1,244,000,791"
06/03/2025,0.55,2.34%,23.70,24.10,23.50,24.10,23.81,"30,549,334","730,989,090"
05/03/2025,0.15,0.64%,23.40,24.10,23.30,23.55,23.70,"30,355,700","719,461,660"
04/03/2025,0.30,1.30%,23.05,23.60,22.85,23.40,23.18,"33,207,006","781,149,204"
03/03/2025,0.10,0.43%,23.00,23.10,22.95,23.10,23.03,"13,220,003","305,969,316"
28/02/2025,-0.20,-0.86%,23.10,23.15,22.95,23.00,23.02,"12,262,814","283,737,432"
27/02/2025,0.00,0.00%,23.20,23.25,22.95,23.20,23.07,"13,556,110","313,113,551"
26/02/2025,-0.20,-0.85%,23.50,23.55,23.20,23.20,23.29,"8,767,912","204,599,139"
25/02/2025,0.40,1.74%,23.05,23.55,23.05,23.40,23.37,"38,636,416","902,998,092"
24/02/2025,0.10,0.44%,22.80,23.05,22.80,23.00,22.95,"13,739,217","315,570,122"
21/02/2025,0.05,0.22%,22.90,23.15,22.80,22.90,22.98,"21,152,422","485,924,939"
20/02/2025,0.00,0.00%,23.00,23.00,22.85,22.85,22.91,"11,621,812","266,805,661"
19/02/2025,0.15,0.66%,22.80,22.95,22.70,22.85,22.84,"10,350,918","237,039,533"
