Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,2.20,9.87%,24.50,24.50,24.50,24.50,24.50,"558,200","13,675,900"
09/04/2025,-2.00,-8.23%,21.90,25.00,21.90,22.30,22.81,"8,278,400","188,847,790"
08/04/2025,-2.70,-10.00%,27.00,27.00,24.30,24.30,24.69,"8,210,200","202,672,300"
04/04/2025,-0.10,-0.37%,25.80,27.00,24.40,27.00,25.46,"9,455,600","240,726,450"
03/04/2025,-3.00,-9.97%,29.60,29.90,27.10,27.10,27.74,"11,618,500","322,267,900"
02/04/2025,0.00,0.00%,30.10,30.40,30.00,30.10,30.18,"2,525,100","76,202,210"
01/04/2025,0.20,0.67%,30.30,30.30,29.70,30.10,29.94,"1,662,700","49,785,070"
31/03/2025,-0.10,-0.33%,30.10,30.30,29.70,29.90,29.98,"2,716,900","81,450,980"
28/03/2025,0.00,0.00%,30.00,30.50,29.60,30.00,29.97,"3,567,200","106,908,410"
27/03/2025,-0.40,-1.32%,30.40,30.50,29.90,30.00,30.15,"3,605,800","108,718,550"
26/03/2025,-0.70,-2.25%,31.10,31.10,30.30,30.40,30.66,"3,637,800","111,545,960"
25/03/2025,-0.30,-0.96%,31.40,31.90,30.80,31.10,31.41,"4,794,700","150,609,770"
24/03/2025,0.50,1.62%,30.50,31.40,30.40,31.40,30.91,"3,548,700","109,696,270"
21/03/2025,0.00,0.00%,30.50,31.20,30.30,30.90,31.01,"1,919,100","59,519,880"
20/03/2025,0.30,0.98%,30.40,31.50,30.20,30.90,30.98,"4,335,500","134,294,300"
19/03/2025,0.20,0.66%,30.40,30.80,30.20,30.60,30.45,"3,521,700","107,234,350"
18/03/2025,-0.30,-0.98%,30.80,31.00,30.40,30.40,30.63,"2,171,700","66,510,360"
17/03/2025,0.20,0.66%,30.60,30.80,30.30,30.70,30.58,"2,257,300","69,020,640"
14/03/2025,-0.10,-0.33%,27.60,30.80,27.60,30.50,30.49,"3,025,800","92,262,170"
13/03/2025,-0.30,-0.97%,30.90,31.30,30.40,30.60,30.76,"5,574,500","171,444,150"
12/03/2025,-0.20,-0.64%,31.10,31.50,30.90,30.90,31.08,"3,252,500","101,089,500"
11/03/2025,0.10,0.32%,30.80,31.30,30.40,31.10,30.88,"4,995,900","154,255,700"
10/03/2025,-0.20,-0.64%,31.00,31.70,30.60,31.00,31.12,"4,422,400","137,616,960"
07/03/2025,0.20,0.65%,31.20,31.60,31.00,31.20,31.30,"5,264,700","164,766,490"
06/03/2025,1.20,4.03%,29.80,31.30,29.70,31.00,30.54,"7,668,000","234,194,170"
05/03/2025,-0.60,-1.97%,27.40,30.90,27.40,29.80,30.37,"4,167,000","126,535,010"
04/03/2025,0.20,0.66%,29.70,30.60,29.60,30.40,30.22,"5,142,400","155,386,070"
03/03/2025,0.50,1.68%,29.70,30.70,29.30,30.20,30.15,"6,811,300","205,351,580"
28/02/2025,-0.20,-0.67%,29.90,30.30,29.50,29.70,29.87,"4,655,100","139,057,300"
27/02/2025,0.20,0.67%,29.80,29.90,29.30,29.90,29.63,"3,992,900","118,300,720"
26/02/2025,0.00,0.00%,29.60,30.40,29.40,29.70,29.89,"6,031,700","180,261,260"
25/02/2025,0.40,1.37%,29.40,29.90,29.20,29.70,29.58,"7,059,100","208,815,910"
24/02/2025,0.80,2.81%,28.50,29.30,28.30,29.30,28.87,"4,850,300","140,023,880"
21/02/2025,-0.30,-1.04%,28.80,28.90,28.30,28.50,28.54,"2,713,600","77,447,400"
20/02/2025,0.50,1.77%,28.40,29.20,28.30,28.80,28.82,"5,837,500","168,214,390"
19/02/2025,0.50,1.80%,28.00,28.40,27.70,28.30,28.08,"3,585,300","100,692,430"
18/02/2025,0.10,0.36%,28.00,28.00,27.70,27.80,27.85,"1,642,600","45,749,240"
17/02/2025,0.20,0.73%,27.60,28.30,27.30,27.70,27.84,"3,432,700","95,562,990"
14/02/2025,0.10,0.36%,27.50,28.10,27.50,27.50,27.83,"2,947,900","82,053,390"
13/02/2025,-0.10,-0.36%,27.00,27.50,27.00,27.40,27.30,"2,031,900","55,475,860"
12/02/2025,-0.20,-0.72%,25.00,28.10,25.00,27.50,27.79,"1,908,800","53,052,710"
11/02/2025,0.00,0.00%,27.10,27.90,27.00,27.70,27.62,"1,088,700","30,065,240"
10/02/2025,0.10,0.36%,27.60,28.00,27.10,27.70,27.50,"2,961,500","81,448,430"
07/02/2025,-0.20,-0.72%,27.80,27.80,27.50,27.60,27.62,"1,320,500","36,474,270"
