Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,3.20,6.92%,49.45,49.45,49.45,49.45,49.45,"411,300","20,338,784"
09/04/2025,-2.90,-5.90%,45.75,49.20,45.75,46.25,47.02,"22,013,600","1,041,952,765"
08/04/2025,-3.65,-6.91%,49.20,50.00,49.15,49.15,49.18,"12,006,400","590,444,945"
04/04/2025,-1.90,-3.47%,50.90,53.50,50.90,52.80,51.38,"29,630,900","1,523,787,210"
03/04/2025,-4.10,-6.97%,55.10,56.30,54.70,54.70,54.92,"15,639,500","858,930,800"
02/04/2025,0.20,0.34%,58.60,59.70,58.00,58.80,58.74,"8,933,900","524,972,768"
01/04/2025,-0.40,-0.68%,58.60,58.90,57.70,58.60,58.33,"6,328,900","369,528,850"
31/03/2025,-0.80,-1.34%,59.00,59.20,58.10,59.00,58.60,"8,914,600","524,339,466"
28/03/2025,-0.60,-0.99%,60.10,60.70,58.90,59.80,59.61,"8,807,300","524,914,260"
27/03/2025,-0.40,-0.66%,60.80,60.80,60.00,60.40,60.30,"5,490,800","330,930,410"
26/03/2025,0.30,0.50%,60.60,61.20,60.50,60.80,60.70,"3,187,100","193,286,520"
25/03/2025,0.20,0.33%,60.40,61.30,59.90,60.50,60.60,"6,737,700","408,033,200"
24/03/2025,0.00,0.00%,59.80,60.30,59.50,60.30,59.90,"3,765,200","225,513,930"
21/03/2025,0.30,0.50%,60.00,60.30,59.40,60.30,59.87,"4,381,500","262,698,290"
20/03/2025,0.50,0.84%,59.80,60.00,59.00,60.00,59.46,"5,633,500","336,905,760"
19/03/2025,-2.30,-3.72%,61.20,61.40,59.00,59.50,60.05,"14,449,400","868,497,380"
18/03/2025,-0.20,-0.32%,62.20,62.50,61.40,61.80,61.92,"6,934,100","429,235,450"
17/03/2025,0.50,0.81%,61.70,62.00,61.40,62.00,61.62,"4,016,900","247,637,330"
14/03/2025,0.00,0.00%,61.50,62.30,61.20,61.50,61.78,"10,582,800","651,740,500"
13/03/2025,-1.20,-1.91%,62.70,62.80,61.20,61.50,61.93,"8,114,800","502,581,560"
12/03/2025,-0.30,-0.48%,63.00,63.00,61.90,62.70,62.32,"10,274,600","640,108,390"
11/03/2025,0.80,1.29%,61.40,63.20,61.40,63.00,62.60,"9,945,900","622,358,060"
10/03/2025,0.30,0.48%,62.00,62.30,61.40,62.20,61.90,"10,616,200","654,797,080"
07/03/2025,0.00,0.00%,61.80,62.00,61.30,61.90,61.60,"6,378,100","392,481,170"
06/03/2025,2.30,3.86%,59.80,61.90,59.60,61.90,61.05,"15,139,900","921,339,930"
05/03/2025,0.10,0.17%,59.80,60.20,59.30,59.60,59.81,"7,188,800","429,952,140"
04/03/2025,0.70,1.19%,58.70,59.90,58.40,59.50,59.26,"7,159,600","421,089,190"
