Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,1.10,9.40%,12.60,12.80,12.60,12.80,12.80,"1,946,200","24,911,319"
09/04/2025,-0.30,-2.50%,10.80,12.50,10.80,11.70,11.77,"28,807,400","339,040,320"
08/04/2025,-1.30,-9.77%,13.00,13.30,12.00,12.00,12.22,"17,612,900","215,236,890"
04/04/2025,-0.20,-1.48%,13.10,13.40,12.40,13.30,12.86,"25,267,100","324,901,130"
03/04/2025,-1.40,-9.40%,14.30,14.70,13.50,13.50,13.83,"46,468,400","678,102,590"
02/04/2025,0.00,0.00%,14.90,15.10,14.80,14.90,14.97,"12,080,000","180,835,040"
01/04/2025,0.50,3.47%,14.40,14.90,14.40,14.90,14.69,"35,033,300","540,716,210"
31/03/2025,-0.30,-2.04%,14.60,14.70,14.40,14.40,14.53,"10,171,600","147,834,120"
28/03/2025,0.00,0.00%,14.70,14.80,14.50,14.70,14.62,"8,042,600","117,571,030"
27/03/2025,0.10,0.68%,14.30,14.80,14.30,14.70,14.72,"14,818,500","217,947,950"
26/03/2025,-0.40,-2.67%,15.10,15.10,14.60,14.60,14.84,"29,104,700","434,523,530"
25/03/2025,-0.10,-0.66%,13.60,15.30,13.60,15.00,15.11,"10,388,700","156,934,660"
24/03/2025,0.40,2.72%,14.80,15.10,14.60,15.10,14.82,"11,710,600","173,545,830"
21/03/2025,-0.20,-1.34%,13.50,15.00,13.50,14.70,14.81,"7,186,700","106,429,680"
20/03/2025,0.20,1.36%,14.70,15.20,14.70,14.90,14.95,"16,350,700","244,447,870"
19/03/2025,-0.20,-1.34%,14.70,14.90,14.60,14.70,14.73,"8,268,600","121,814,970"
18/03/2025,-0.10,-0.67%,15.10,15.20,14.80,14.90,14.94,"9,615,500","143,670,380"
17/03/2025,0.10,0.67%,14.80,15.40,14.70,15.00,15.10,"9,880,100","149,151,990"
14/03/2025,0.20,1.36%,14.30,15.30,13.50,14.90,14.93,"16,540,400","246,994,740"
13/03/2025,-0.30,-2.00%,13.50,15.10,13.50,14.70,14.84,"12,727,800","188,900,610"
12/03/2025,0.40,2.74%,14.60,15.20,14.50,15.00,14.87,"22,977,400","341,631,540"
11/03/2025,0.10,0.69%,14.10,14.60,14.10,14.60,14.37,"15,139,400","217,487,290"
10/03/2025,0.10,0.69%,14.40,14.70,14.30,14.50,14.50,"19,657,100","281,433,990"
07/03/2025,0.10,0.70%,14.30,14.40,14.20,14.40,14.31,"13,380,300","191,528,400"
