Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,1.40,6.80%,22.00,22.00,22.00,22.00,22.00,"5,220,200","114,844,402"
09/04/2025,-1.50,-6.79%,20.60,22.05,20.60,20.60,20.81,"73,750,900","1,534,793,690"
08/04/2025,-1.65,-6.95%,23.00,23.10,22.10,22.10,22.27,"33,284,005","742,490,401"
04/04/2025,-0.85,-3.46%,22.90,23.85,22.90,23.75,23.11,"82,144,001","1,898,438,948"
03/04/2025,-1.85,-6.99%,25.20,25.80,24.60,24.60,24.97,"54,355,802","1,357,348,619"
02/04/2025,0.40,1.54%,26.15,26.50,26.10,26.45,26.30,"15,569,002","409,483,169"
01/04/2025,0.05,0.19%,26.20,26.25,25.80,26.05,26.00,"18,403,501","478,577,039"
31/03/2025,-0.35,-1.33%,26.15,26.35,26.00,26.00,26.12,"19,494,502","509,253,819"
28/03/2025,0.05,0.19%,26.35,26.55,26.05,26.35,26.27,"17,729,601","465,971,895"
27/03/2025,-0.20,-0.75%,26.50,26.60,26.30,26.30,26.42,"15,221,897","402,154,249"
26/03/2025,-0.40,-1.49%,26.90,27.05,26.40,26.50,26.72,"26,490,401","708,068,100"
25/03/2025,-0.25,-0.92%,27.30,27.45,26.90,26.90,27.19,"24,048,701","653,642,705"
24/03/2025,0.55,2.07%,26.75,27.15,26.50,27.15,26.78,"24,864,800","665,882,355"
21/03/2025,0.05,0.19%,26.60,26.85,26.50,26.60,26.67,"21,500,001","573,377,395"
20/03/2025,0.00,0.00%,26.65,26.85,26.40,26.55,26.58,"24,589,602","655,727,584"
19/03/2025,-0.25,-0.93%,26.70,26.85,26.50,26.55,26.63,"24,310,901","647,493,945"
18/03/2025,-0.20,-0.74%,27.10,27.45,26.80,26.80,27.09,"33,898,007","922,347,374"
17/03/2025,0.05,0.19%,27.10,27.15,26.85,27.00,27.00,"18,849,302","509,480,735"
14/03/2025,0.00,0.00%,27.00,27.20,26.80,26.95,27.04,"33,467,802","904,942,110"
13/03/2025,0.25,0.94%,26.75,27.40,26.45,26.95,26.98,"50,816,001","1,370,950,595"
12/03/2025,0.00,0.00%,26.85,26.95,26.55,26.70,26.75,"31,884,200","859,074,105"
11/03/2025,0.05,0.19%,26.35,26.70,26.35,26.70,26.54,"26,426,501","701,227,860"
10/03/2025,-0.25,-0.93%,27.00,27.25,26.50,26.65,26.85,"46,042,300","1,235,987,325"
07/03/2025,0.00,0.00%,27.10,27.15,26.80,26.90,26.93,"24,616,802","661,611,635"
06/03/2025,0.80,3.07%,26.20,26.95,26.20,26.90,26.59,"44,988,801","1,196,359,099"
05/03/2025,-0.25,-0.95%,26.40,26.65,26.10,26.10,26.35,"27,564,200","726,277,530"
04/03/2025,-0.25,-0.94%,26.45,26.60,26.10,26.35,26.35,"24,072,402","634,205,480"
03/03/2025,0.30,1.14%,26.30,26.80,26.15,26.60,26.51,"26,950,102","713,231,574"
28/02/2025,0.20,0.77%,26.20,26.80,26.20,26.30,26.44,"41,880,001","1,107,052,429"
27/02/2025,0.25,0.97%,25.95,26.10,25.60,26.10,25.86,"19,001,304","491,685,051"
26/02/2025,0.00,0.00%,25.85,26.10,25.60,25.85,25.85,"25,212,900","651,872,040"
25/02/2025,0.00,0.00%,25.90,26.20,25.75,25.85,25.95,"29,294,102","760,317,388"
24/02/2025,0.50,1.97%,25.30,25.85,25.25,25.85,25.64,"25,313,003","648,964,956"
21/02/2025,0.10,0.40%,25.20,25.40,25.15,25.35,25.28,"11,577,200","292,669,760"
20/02/2025,-0.10,-0.39%,25.45,25.55,25.25,25.25,25.36,"13,806,601","350,198,994"
19/02/2025,0.20,0.80%,25.25,25.40,25.05,25.35,25.28,"15,517,002","392,225,052"
18/02/2025,0.15,0.60%,25.10,25.30,25.00,25.15,25.16,"9,865,101","248,114,978"
17/02/2025,0.10,0.40%,24.90,25.35,24.80,25.00,25.06,"18,488,602","463,328,981"
14/02/2025,0.10,0.40%,25.00,25.30,24.90,24.90,25.05,"16,151,100","404,609,880"
13/02/2025,0.05,0.20%,24.75,24.90,24.70,24.80,24.79,"7,513,300","186,847,755"
12/02/2025,0.05,0.20%,24.80,25.05,24.75,24.75,24.87,"6,964,801","173,182,933"
11/02/2025,-0.20,-0.80%,24.95,25.00,24.65,24.70,24.78,"13,790,400","342,344,570"
10/02/2025,-0.10,-0.40%,24.95,25.15,24.65,24.90,24.91,"15,857,201","395,037,853"
07/02/2025,-0.05,-0.20%,25.05,25.20,24.95,25.00,25.04,"8,880,201","222,838,668"
06/02/2025,0.00,0.00%,25.20,25.40,25.05,25.05,25.16,"9,261,600","233,014,740"
05/02/2025,-0.25,-0.99%,25.45,25.45,25.05,25.05,25.14,"9,947,203","250,104,416"
04/02/2025,0.50,2.02%,24.90,25.45,24.80,25.30,25.09,"15,668,800","393,114,550"
03/02/2025,-0.45,-1.78%,24.85,25.05,24.75,24.80,24.88,"12,877,000","320,396,760"
24/01/2025,0.10,0.40%,25.10,25.25,25.00,25.25,25.15,"9,711,000","244,251,335"
23/01/2025,0.75,3.07%,24.45,25.25,24.45,25.15,24.88,"18,477,201","459,727,953"
22/01/2025,-0.05,-0.20%,24.50,24.75,24.40,24.40,24.51,"9,555,200","234,163,390"
21/01/2025,-0.05,-0.20%,24.55,24.80,24.40,24.45,24.56,"8,617,930","211,612,514"
20/01/2025,-0.05,-0.20%,24.65,24.65,24.35,24.50,24.52,"7,431,800","181,444,185"
17/01/2025,0.15,0.61%,24.40,24.60,24.25,24.55,24.45,"8,603,624","210,480,209"
16/01/2025,0.25,1.04%,24.40,25.20,24.30,24.40,24.70,"18,541,100","458,014,650"
15/01/2025,0.20,0.84%,24.15,24.35,24.00,24.15,24.16,"9,867,500","238,435,670"
14/01/2025,-0.20,-0.83%,24.20,24.20,23.90,23.95,24.03,"8,104,900","194,765,115"
13/01/2025,0.45,1.90%,23.55,24.30,23.55,24.15,23.89,"10,895,100","260,188,595"
10/01/2025,-0.70,-2.87%,24.30,24.55,23.50,23.70,24.07,"21,372,701","514,412,403"
09/01/2025,-0.30,-1.21%,24.70,24.95,24.40,24.40,24.60,"9,307,600","228,930,675"
08/01/2025,0.15,0.61%,24.50,24.80,24.45,24.70,24.61,"9,369,401","230,875,468"
07/01/2025,-0.35,-1.41%,25.35,25.35,24.50,24.55,24.77,"18,608,600","460,967,005"
06/01/2025,-0.45,-1.78%,25.35,25.50,24.85,24.90,25.17,"9,985,000","251,308,220"
03/01/2025,-0.60,-2.31%,25.90,25.95,25.35,25.35,25.62,"18,194,901","463,599,379"
02/01/2025,-0.10,-0.38%,26.05,26.35,25.90,25.95,26.02,"8,938,200","232,580,505"
31/12/2024,-0.40,-1.51%,26.45,26.45,26.05,26.05,26.25,"8,264,000","216,843,550"
30/12/2024,-0.15,-0.56%,26.60,26.90,26.45,26.45,26.61,"11,494,000","305,828,385"
27/12/2024,0.25,0.95%,26.40,26.70,26.30,26.60,26.50,"16,346,901","433,119,900"
26/12/2024,-0.20,-0.75%,26.50,26.60,26.35,26.35,26.44,"8,764,400","231,764,390"
25/12/2024,0.60,2.31%,26.00,26.75,25.90,26.55,26.41,"28,021,101","735,936,984"
24/12/2024,0.10,0.39%,25.85,25.95,25.50,25.95,25.74,"17,389,200","446,908,525"
23/12/2024,-0.40,-1.52%,26.20,26.30,25.85,25.85,26.09,"7,842,606","204,637,012"
20/12/2024,0.05,0.19%,26.10,26.25,25.90,26.25,26.13,"12,587,802","328,708,659"
19/12/2024,0.00,0.00%,25.80,26.20,25.45,26.20,25.78,"30,712,702","791,620,989"
18/12/2024,0.20,0.77%,26.00,26.20,25.80,26.20,26.03,"8,143,300","211,936,005"
17/12/2024,-0.10,-0.38%,26.10,26.15,25.85,26.00,25.96,"6,199,401","160,945,119"
16/12/2024,0.30,1.16%,25.90,26.20,25.75,26.10,25.96,"14,599,301","379,033,034"
13/12/2024,-0.20,-0.77%,25.95,26.00,25.70,25.80,25.83,"11,018,901","284,746,634"
12/12/2024,-0.15,-0.57%,26.10,26.45,26.00,26.00,26.17,"12,567,000","329,130,080"
11/12/2024,-0.10,-0.38%,26.30,26.40,25.95,26.15,26.14,"12,560,400","328,317,660"
10/12/2024,0.05,0.19%,26.15,26.40,26.00,26.25,26.20,"12,619,102","330,679,674"
09/12/2024,-0.15,-0.57%,26.30,26.40,26.00,26.20,26.16,"18,860,201","493,409,905"
06/12/2024,0.65,2.53%,26.00,26.45,25.80,26.35,26.14,"33,824,400","884,153,295"
05/12/2024,1.65,6.86%,24.10,25.70,23.65,25.70,24.97,"37,465,301","932,351,012"
04/12/2024,-0.25,-1.03%,24.25,24.30,24.00,24.05,24.12,"9,339,306","225,560,686"
03/12/2024,-0.15,-0.61%,24.45,24.50,24.25,24.30,24.36,"15,257,003","367,650,068"
02/12/2024,-0.10,-0.41%,24.60,24.75,24.30,24.45,24.49,"8,221,901","201,346,753"
29/11/2024,0.25,1.03%,24.30,24.65,24.20,24.55,24.45,"9,018,200","220,464,845"
28/11/2024,0.00,0.00%,24.45,24.55,24.25,24.30,24.36,"8,487,700","206,720,850"
27/11/2024,-0.30,-1.22%,24.60,24.70,24.25,24.30,24.42,"9,322,903","227,636,269"
26/11/2024,0.10,0.41%,24.60,24.90,24.50,24.60,24.74,"9,334,301","230,907,783"
25/11/2024,0.15,0.62%,24.40,24.50,24.20,24.50,24.32,"10,156,701","247,013,558"
22/11/2024,-0.25,-1.02%,24.50,24.60,24.25,24.35,24.38,"12,804,201","312,167,888"
21/11/2024,0.30,1.23%,24.30,24.65,24.05,24.60,24.29,"14,195,600","344,864,820"
20/11/2024,0.45,1.89%,23.90,24.70,23.75,24.30,24.28,"17,961,702","436,186,659"
19/11/2024,-0.45,-1.85%,24.35,24.50,23.80,23.85,24.10,"10,705,302","257,976,135"
18/11/2024,0.35,1.46%,23.95,24.60,23.80,24.30,24.13,"24,877,000","600,276,205"
15/11/2024,-0.75,-3.04%,24.70,24.70,23.80,23.95,24.12,"25,501,803","615,028,409"
14/11/2024,-0.75,-2.95%,25.45,25.45,24.65,24.70,25.06,"12,754,600","319,592,085"
13/11/2024,-0.25,-0.97%,25.70,25.70,25.25,25.45,25.47,"12,558,200","319,957,955"
12/11/2024,0.00,0.00%,25.80,26.15,25.55,25.70,25.84,"10,035,101","259,266,649"
11/11/2024,-0.40,-1.53%,26.10,26.10,25.55,25.70,25.74,"12,836,506","330,515,641"
08/11/2024,-0.25,-0.95%,26.35,26.45,26.05,26.10,26.25,"7,740,002","203,200,004"
07/11/2024,-0.10,-0.38%,26.65,26.70,26.35,26.35,26.47,"5,991,001","158,601,780"
06/11/2024,0.30,1.15%,26.30,26.60,26.20,26.45,26.37,"10,676,501","281,486,084"
05/11/2024,-0.10,-0.38%,26.25,26.45,26.15,26.15,26.26,"3,227,600","84,749,900"
04/11/2024,0.05,0.19%,26.20,26.55,25.90,26.25,26.15,"13,413,502","350,809,839"
01/11/2024,-0.40,-1.50%,26.50,26.50,26.05,26.20,26.25,"8,377,204","219,928,939"
31/10/2024,0.25,0.95%,26.35,26.60,26.30,26.60,26.43,"7,085,500","187,288,995"
30/10/2024,-0.35,-1.31%,26.80,26.85,26.20,26.35,26.50,"9,615,802","254,857,415"
29/10/2024,-0.10,-0.37%,26.85,27.00,26.70,26.70,26.84,"5,358,800","143,809,205"
28/10/2024,0.10,0.37%,26.65,27.00,26.65,26.80,26.85,"6,128,802","164,559,200"
