Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,3.30,6.80%,51.80,51.80,51.80,51.80,51.80,"752,100","38,958,780"
09/04/2025,1.50,3.19%,45.60,48.80,45.60,48.50,48.04,"24,747,600","1,182,212,015"
08/04/2025,-3.30,-6.56%,48.70,49.50,46.80,47.00,47.60,"21,438,100","1,020,358,275"
04/04/2025,1.00,2.03%,46.10,50.60,46.10,50.30,48.95,"21,595,400","1,057,173,655"
03/04/2025,-3.70,-6.98%,50.30,51.60,49.30,49.30,49.84,"23,521,900","1,172,246,660"
02/04/2025,0.00,0.00%,53.20,53.60,52.60,53.00,53.15,"23,663,000","1,229,691,270"
01/04/2025,1.70,3.31%,51.80,53.50,51.50,53.00,52.67,"11,851,000","624,238,000"
31/03/2025,0.10,0.20%,51.20,51.60,51.00,51.30,51.25,"27,249,600","1,394,129,582"
28/03/2025,0.00,0.00%,51.10,51.90,50.70,51.20,51.30,"8,222,900","421,799,630"
27/03/2025,-0.30,-0.58%,51.50,51.70,50.50,51.20,51.10,"10,685,500","548,542,680"
26/03/2025,0.00,0.00%,51.80,52.20,50.20,51.50,51.12,"9,611,000","491,296,020"
25/03/2025,0.20,0.39%,51.90,52.50,51.10,51.50,51.88,"19,700,000","1,020,335,786"
24/03/2025,3.05,6.32%,48.45,51.40,48.35,51.30,50.27,"15,552,100","781,832,740"
21/03/2025,0.90,1.90%,47.10,48.40,47.10,48.25,48.12,"13,695,700","659,001,070"
20/03/2025,0.00,0.00%,47.35,48.20,46.95,47.35,47.44,"13,458,400","638,446,415"
19/03/2025,0.05,0.11%,46.80,47.90,46.25,47.35,47.01,"13,442,500","631,871,280"
18/03/2025,-0.50,-1.05%,47.60,48.75,46.80,47.30,47.55,"12,239,544","582,011,756"
17/03/2025,-0.10,-0.21%,47.95,48.00,46.80,47.80,47.57,"11,017,800","524,091,705"
14/03/2025,0.10,0.21%,47.70,48.90,47.70,47.90,48.53,"16,861,700","818,257,275"
13/03/2025,0.85,1.81%,47.00,49.55,46.55,47.80,48.34,"22,269,900","1,076,486,055"
12/03/2025,1.45,3.19%,45.40,47.30,45.40,46.95,46.67,"15,641,200","729,974,695"
11/03/2025,0.20,0.44%,44.60,45.55,44.20,45.50,45.09,"18,103,400","817,494,985"
10/03/2025,0.35,0.78%,45.00,45.80,44.70,45.30,45.24,"12,501,300","565,559,420"
07/03/2025,1.35,3.10%,43.60,45.75,43.30,44.95,44.51,"17,823,300","793,383,830"
06/03/2025,0.90,2.11%,42.85,43.60,42.85,43.60,43.30,"12,125,200","525,003,511"
05/03/2025,0.65,1.55%,42.05,43.00,42.05,42.70,42.77,"10,682,200","456,851,520"
04/03/2025,-0.50,-1.18%,42.55,43.15,42.05,42.05,42.74,"18,844,760","803,935,468"
03/03/2025,1.35,3.28%,41.30,42.55,41.20,42.55,42.22,"18,508,900","772,197,280"
28/02/2025,0.15,0.37%,41.05,41.60,40.85,41.20,41.21,"9,218,500","379,865,800"
27/02/2025,0.35,0.86%,40.75,41.15,40.60,41.05,40.87,"6,360,000","259,945,715"
26/02/2025,-0.05,-0.12%,40.80,40.90,40.50,40.70,40.63,"4,187,200","170,131,560"
25/02/2025,0.50,1.24%,40.30,41.25,40.30,40.75,40.87,"5,566,600","227,517,620"
24/02/2025,-0.05,-0.12%,40.10,40.30,39.95,40.25,40.12,"9,735,900","391,519,110"
21/02/2025,-0.25,-0.62%,40.70,40.70,40.25,40.30,40.42,"4,103,300","165,991,790"
20/02/2025,1.45,3.71%,39.20,40.80,39.15,40.55,40.32,"11,106,700","447,804,375"
19/02/2025,0.20,0.51%,39.15,39.15,38.80,39.10,38.96,"2,932,700","114,265,860"
18/02/2025,0.10,0.26%,38.90,39.20,38.85,38.90,38.99,"3,087,100","120,375,075"
17/02/2025,0.00,0.00%,38.80,39.15,38.70,38.80,39.01,"5,447,200","208,407,740"
14/02/2025,0.05,0.13%,38.95,39.05,38.75,38.80,38.92,"4,389,100","171,086,855"
13/02/2025,0.75,1.97%,37.90,38.90,37.90,38.75,38.44,"4,922,700","189,244,900"
