Date,Change,Percent Change,Open,High,Low,Close,Average,Volume,Value
10/04/2025,3.90,6.84%,60.90,60.90,60.90,60.90,60.90,"3,803,200","231,614,874"
09/04/2025,1.90,3.45%,52.10,58.40,52.10,57.00,57.03,"13,002,500","741,569,910"
08/04/2025,-3.20,-5.49%,58.00,58.00,54.30,55.10,56.14,"16,869,700","958,531,430"
04/04/2025,2.10,3.74%,54.20,59.50,53.40,58.30,56.77,"14,551,100","826,021,300"
03/04/2025,-4.20,-6.95%,58.20,59.80,56.20,56.20,56.89,"19,235,900","1,094,296,420"
02/04/2025,0.70,1.17%,60.50,61.20,59.50,60.40,60.14,"16,069,060","947,652,740"
01/04/2025,1.70,2.93%,58.70,60.80,58.20,59.70,59.59,"7,757,400","462,294,550"
31/03/2025,0.00,0.00%,57.80,58.50,57.30,58.00,57.90,"25,157,060","1,459,205,425"
28/03/2025,0.90,1.58%,57.00,58.30,56.90,58.00,57.74,"5,542,600","320,051,780"
27/03/2025,0.10,0.18%,57.50,58.70,56.60,57.10,57.22,"30,716,750","1,804,171,940"
26/03/2025,0.10,0.18%,57.80,58.00,55.70,57.00,56.73,"8,597,700","488,106,290"
25/03/2025,0.20,0.35%,57.70,59.20,56.60,56.90,58.14,"38,025,550","2,229,429,470"
24/03/2025,3.70,6.98%,53.00,56.70,52.70,56.70,56.20,"13,829,000","770,993,710"
21/03/2025,1.50,2.91%,51.60,53.00,51.00,53.00,52.46,"7,620,300","399,766,620"
20/03/2025,-0.40,-0.77%,52.00,53.20,50.70,51.50,51.86,"6,629,100","343,811,050"
19/03/2025,0.60,1.17%,50.80,52.50,49.20,51.90,50.94,"10,476,000","533,842,410"
18/03/2025,-0.80,-1.54%,52.10,52.70,51.10,51.30,51.86,"7,940,099","412,262,829"
17/03/2025,-0.10,-0.19%,52.50,52.70,50.80,52.10,51.89,"6,631,300","344,169,860"
14/03/2025,0.80,1.56%,51.80,52.80,51.40,52.20,52.34,"8,422,600","440,874,530"
13/03/2025,3.30,6.86%,48.30,51.40,47.50,51.40,50.80,"16,501,000","838,055,570"
12/03/2025,0.80,1.69%,47.35,48.25,47.35,48.10,48.00,"7,003,400","336,186,660"
11/03/2025,0.00,0.00%,46.90,47.30,46.50,47.30,47.02,"24,084,000","1,137,308,185"
10/03/2025,2.00,4.42%,45.90,47.90,45.80,47.30,46.99,"12,630,000","588,459,945"
07/03/2025,2.95,6.97%,42.30,45.30,42.25,45.30,44.46,"11,608,700","515,851,825"
06/03/2025,0.10,0.24%,42.30,42.55,42.05,42.35,42.43,"2,762,200","117,195,645"
05/03/2025,0.30,0.72%,42.05,42.50,42.00,42.25,42.37,"2,907,700","123,193,860"
04/03/2025,-0.10,-0.24%,42.45,42.50,41.80,41.95,42.14,"3,056,500","128,803,935"
03/03/2025,0.85,2.06%,41.30,42.40,41.20,42.05,41.94,"2,943,500","123,549,840"
28/02/2025,0.15,0.37%,41.05,41.60,40.70,41.20,41.17,"2,771,000","114,088,970"
27/02/2025,0.05,0.12%,41.20,41.20,40.75,41.05,40.94,"1,527,600","62,306,510"
26/02/2025,0.30,0.74%,41.00,41.10,40.80,41.00,40.97,"1,364,900","55,926,080"
25/02/2025,0.10,0.25%,40.70,41.15,40.65,40.70,40.91,"1,879,300","76,789,120"
24/02/2025,-0.05,-0.12%,40.35,40.65,40.35,40.60,40.48,"4,126,100","167,468,675"
21/02/2025,-0.30,-0.73%,40.95,40.95,40.65,40.65,40.82,"2,638,100","107,841,925"
20/02/2025,0.55,1.36%,40.45,41.25,40.40,40.95,40.94,"2,936,300","120,209,625"
19/02/2025,0.20,0.50%,40.20,40.50,40.05,40.40,40.27,"18,000,300","729,164,170"
18/02/2025,0.10,0.25%,40.10,40.45,39.90,40.20,40.15,"7,449,000","298,201,870"
17/02/2025,-0.15,-0.37%,40.25,40.40,40.05,40.10,40.18,"5,907,700","237,734,955"
14/02/2025,0.00,0.00%,40.50,40.50,40.20,40.25,40.36,"5,072,800","205,306,115"
13/02/2025,0.35,0.88%,39.90,40.30,39.85,40.25,40.06,"1,138,900","45,701,650"
12/02/2025,-0.05,-0.13%,39.95,40.10,39.90,39.90,39.97,"8,583,900","342,947,235"
11/02/2025,-0.05,-0.12%,40.00,40.10,39.85,39.95,39.95,"1,522,000","60,923,035"
10/02/2025,-0.65,-1.60%,40.35,40.35,40.00,40.00,40.12,"9,329,700","378,433,565"
07/02/2025,0.20,0.49%,40.50,40.70,40.25,40.65,40.49,"1,480,900","60,054,550"
06/02/2025,0.40,1.00%,40.35,40.55,40.05,40.45,40.26,"1,684,600","67,744,350"
05/02/2025,-0.05,-0.12%,40.20,40.45,40.05,40.05,40.24,"1,420,700","57,304,241"
04/02/2025,0.05,0.12%,40.05,40.20,39.85,40.10,39.99,"1,440,900","57,623,205"
03/02/2025,-0.35,-0.87%,40.20,40.30,39.90,40.05,40.01,"1,637,100","65,542,215"
24/01/2025,0.00,0.00%,40.25,40.50,40.20,40.40,40.36,"1,411,900","56,920,160"
23/01/2025,0.00,0.00%,40.40,40.65,40.25,40.40,40.47,"1,599,100","64,685,310"
22/01/2025,-0.05,-0.12%,40.50,40.50,40.10,40.40,40.35,"15,240,200","616,276,625"
21/01/2025,0.05,0.12%,40.55,40.55,40.30,40.45,40.41,"1,645,739","66,493,918"
20/01/2025,-0.05,-0.12%,40.30,40.45,40.25,40.40,40.36,"670,200","27,047,265"
17/01/2025,0.00,0.00%,40.50,40.55,40.25,40.45,40.39,"2,493,821","100,817,974"
16/01/2025,0.20,0.50%,40.30,40.65,40.10,40.45,40.28,"52,883,753","2,138,871,019"
15/01/2025,0.05,0.12%,40.30,40.35,40.00,40.25,40.22,"6,296,600","253,169,800"
14/01/2025,-0.10,-0.25%,40.20,40.20,39.80,40.20,40.01,"2,326,300","93,063,805"
13/01/2025,-0.20,-0.49%,39.70,40.35,39.70,40.30,40.15,"5,486,700","221,586,845"
10/01/2025,-0.25,-0.61%,40.75,40.90,40.40,40.50,40.63,"1,104,600","44,883,930"
09/01/2025,0.25,0.62%,40.55,41.00,40.50,40.75,40.67,"1,273,900","51,816,650"
08/01/2025,0.00,0.00%,40.40,40.55,40.30,40.50,40.45,"1,025,800","41,775,415"
07/01/2025,0.00,0.00%,40.30,40.55,40.20,40.50,40.42,"2,051,000","82,902,980"
06/01/2025,0.00,0.00%,40.40,40.50,40.30,40.50,40.41,"9,114,300","368,979,195"
03/01/2025,-0.05,-0.12%,40.55,40.55,40.15,40.50,40.33,"1,915,100","77,594,540"
02/01/2025,0.00,0.00%,40.50,40.55,40.30,40.55,40.43,"1,340,500","54,201,100"
31/12/2024,0.00,0.00%,40.55,40.60,40.30,40.55,40.47,"1,870,400","75,738,080"
30/12/2024,0.00,0.00%,40.35,40.60,40.30,40.55,40.48,"1,415,300","57,284,450"
27/12/2024,-0.10,-0.25%,40.70,40.90,40.55,40.55,40.68,"1,497,700","60,926,085"
26/12/2024,0.00,0.00%,40.70,41.00,40.65,40.65,40.76,"977,500","39,664,970"
25/12/2024,0.05,0.12%,40.60,41.05,40.55,40.65,40.82,"1,933,100","78,917,710"
24/12/2024,0.00,0.00%,40.50,40.60,40.35,40.60,40.50,"7,374,500","299,267,070"
23/12/2024,0.10,0.25%,40.50,40.85,40.50,40.60,40.65,"3,524,700","142,910,665"
20/12/2024,0.20,0.50%,40.30,40.50,40.25,40.50,40.38,"1,694,200","68,496,760"
19/12/2024,-0.30,-0.74%,40.30,40.40,40.10,40.30,40.28,"2,511,800","101,194,400"
18/12/2024,0.05,0.12%,40.55,40.85,40.55,40.60,40.65,"7,903,000","320,548,465"
17/12/2024,-0.15,-0.37%,40.70,40.80,40.55,40.55,40.61,"1,560,900","63,076,555"
16/12/2024,-0.10,-0.25%,40.80,40.90,40.60,40.70,40.73,"4,861,200","198,256,450"
13/12/2024,-0.10,-0.24%,40.75,40.90,40.60,40.80,40.74,"2,183,200","89,392,495"
12/12/2024,-0.40,-0.97%,41.30,41.35,40.90,40.90,41.16,"2,147,400","88,392,195"
11/12/2024,0.10,0.24%,41.20,41.40,40.90,41.30,41.16,"9,319,100","383,865,030"
10/12/2024,-0.65,-1.55%,41.85,41.90,41.20,41.20,41.54,"4,113,900","171,439,350"
09/12/2024,0.00,0.00%,42.10,42.85,41.85,41.85,42.29,"12,594,400","528,558,430"
06/12/2024,1.00,2.45%,40.85,42.30,40.75,41.85,41.72,"5,327,100","222,231,705"
05/12/2024,0.85,2.13%,40.80,41.00,40.30,40.85,40.67,"3,456,100","140,499,195"
04/12/2024,-0.40,-0.99%,40.40,40.40,39.80,40.00,40.15,"4,966,600","200,025,405"
03/12/2024,0.05,0.12%,40.40,40.60,40.25,40.40,40.38,"1,959,300","79,125,085"
02/12/2024,-0.15,-0.37%,40.55,40.95,40.30,40.35,40.47,"2,164,000","87,537,820"
29/11/2024,-0.20,-0.49%,40.65,40.75,40.50,40.50,40.59,"2,031,400","82,472,150"
