Ticker,count,positive,neutral,negative
FPT,866,421,314,131
HCM,729,324,233,172
HPG,602,269,235,98
MWG,566,266,213,87
VHM,557,247,224,86
SSI,514,255,179,80
SHS,428,171,176,81
TCB,424,174,184,66
MBS,403,191,130,82
VCB,394,170,157,67
PVS,393,169,147,77
VNM,390,156,158,76
CEO,364,172,124,68
MSN,358,157,134,67
VND,357,174,122,61
CTG,328,139,127,62
STB,317,136,131,50
ACV,315,151,98,66
VIC,302,143,114,45
MBB,277,131,112,34
HDB,276,106,124,46
MCH,273,118,99,56
NDT,247,125,97,25
VRE,247,93,97,57
ACB,245,101,108,36
BID,216,83,88,45
TNG,213,91,71,51
BSR,201,89,84,28
QNS,194,94,58,42
BSC,191,65,109,17
NVL,190,70,78,42
VIB,189,84,84,21
VCI,179,82,68,29
DXG,177,78,74,25
KDH,177,82,77,18
GVR,177,61,78,38
HVN,171,71,60,40
NLG,169,83,68,18
TPB,164,70,56,38
LPB,161,61,80,20
PDR,160,63,72,25
KBC,158,75,59,24
FRT,157,79,52,26
SHB,157,69,65,23
VIX,152,69,64,19
PNJ,148,68,61,19
HSG,146,63,59,24
DBC,136,68,44,24
EIB,134,60,58,16
GAS,125,50,59,16
DIG,125,39,61,25
POW,124,51,56,17
BCM,122,47,48,27
BVS,120,60,33,27
HNG,116,43,33,40
VGS,114,52,40,22
OCB,111,53,45,13
CTR,111,65,35,11
GMD,111,47,46,18
PVI,109,48,40,21
SAB,106,45,42,19
OIL,104,50,31,23
TCH,104,46,40,18
CMG,99,48,30,21
TPS,98,32,55,11
QCG,96,32,34,30
REE,94,43,42,9
HAH,93,46,26,21
NKG,92,44,33,15
PVD,92,46,34,12
VGI,87,35,42,10
MSB,87,37,34,16
GEX,86,37,30,19
SSB,85,34,36,15
DTD,85,39,23,23
HDG,84,34,34,16
NAB,83,41,29,13
HBC,80,29,20,31
PLX,76,33,28,15
VJC,71,28,28,15
FTS,68,34,25,9
HUT,66,32,25,9
BCG,64,41,16,7
ABI,64,25,25,14
TIG,64,27,23,14
VCG,63,29,21,13
PHP,61,29,19,13
QTP,60,27,25,8
HRC,59,33,15,11
CII,59,35,23,1
YEG,58,32,15,11
BVH,58,16,28,14
ICT,57,40,11,6
DHT,54,35,11,8
KDC,53,24,22,7
NTL,52,28,18,6
SBT,51,23,21,7
SMC,50,12,13,25
VGP,49,37,8,4
ITA,48,14,7,27
SJC,44,14,12,18
VSC,44,19,18,7
GEE,44,27,13,4
BTV,44,31,10,3
VPI,44,24,13,7
MPC,44,23,9,12
MVN,44,21,14,9
KLB,44,20,12,12
IVS,43,18,13,12
VDS,43,24,13,6
CTD,43,20,16,7
HDC,42,21,15,6
SGI,42,17,13,12
APG,42,19,14,9
DGW,41,25,10,6
SZC,40,16,17,7
MFS,40,15,15,10
VNG,40,16,14,10
CTS,39,19,13,7
VHC,39,22,9,8
TVN,38,17,13,8
TLH,37,14,11,12
BSI,37,19,12,6
VIS,36,19,13,4
PVT,35,13,19,3
API,34,16,13,5
ABB,33,11,15,7
VNX,33,19,9,5
LDG,33,9,7,17
BAF,33,13,13,7
ROS,32,5,16,11
VAB,32,18,9,5
GSM,32,26,2,4
SCR,31,12,14,5
VRG,31,19,10,2
VGT,30,15,10,5
IDJ,30,14,12,4
CCP,28,14,10,4
PVB,28,15,6,7
HHV,28,13,11,4
SCS,28,14,10,4
HAX,28,17,8,3
PVC,27,12,8,7
SGP,27,11,11,5
TCM,27,13,9,5
PET,27,14,11,2
VOS,26,9,10,7
NVB,26,12,8,6
DBD,26,19,7,0
APS,26,9,12,5
PSH,25,6,5,14
FOC,25,11,6,8
ELC,25,12,7,6
PLC,25,12,6,7
AGM,24,11,3,10
NHA,23,13,6,4
PHR,23,11,8,4
BVB,23,14,3,6
SEA,23,10,10,3
TVB,23,7,4,12
HPX,23,8,8,7
TDH,22,6,5,11
AGG,22,9,7,6
BMI,22,7,12,3
DHG,22,12,8,2
SAM,22,11,9,2
MIG,22,12,8,2
SGR,22,11,5,6
TCD,21,12,4,5
PPP,21,14,4,3
SJS,21,12,3,6
TDC,21,6,9,6
PMC,21,13,6,2
MSH,21,12,6,3
FCN,21,6,9,6
TTN,20,9,6,5
PSI,20,11,6,3
VRC,20,8,11,1
GHC,20,8,6,6
ART,20,3,8,9
MST,20,8,6,6
DRI,20,12,2,6
ANV,19,12,4,3
NRC,19,6,3,10
HBS,19,12,4,3
AMD,19,4,8,7
EVS,18,8,3,7
NPS,18,8,8,2
FDC,18,10,3,5
IMP,18,11,5,2
VIP,18,11,3,4
LDP,17,9,3,5
PAN,17,5,12,0
AGR,17,9,8,0
VNT,16,11,0,5
NDN,16,11,3,2
VNR,16,9,5,2
KOS,16,5,8,3
TCT,16,5,5,6
VTO,16,11,3,2
VNS,16,12,4,0
MAS,16,9,3,4
GEG,16,7,8,1
HTC,15,12,3,0
STK,15,5,5,5
SMB,15,13,1,1
DPG,15,8,4,3
BIC,15,6,8,1
NVT,15,7,0,8
PGB,15,6,6,3
DPR,15,10,3,2
CTF,15,10,3,2
VNE,14,6,2,6
LHG,14,5,6,3
TMS,14,13,0,1
TRC,14,9,3,2
CLX,14,7,3,4
DRH,14,3,3,8
HQC,14,5,9,0
ITD,14,8,2,4
VCA,14,5,5,4
EVG,14,6,2,6
SGB,13,10,0,3
DNA,13,12,1,0
SAS,13,7,3,3
HTN,13,9,3,1
KHS,13,8,4,1
TOP,13,11,1,1
SLS,13,7,4,2
PGS,13,9,3,1
EVE,13,7,3,3
SGT,13,7,2,4
BHN,13,7,3,3
WCS,13,8,3,2
IDI,12,6,3,3
CKG,12,5,3,4
PPC,12,8,2,2
CMS,12,7,2,3
TSJ,12,5,7,0
CRE,12,5,2,5
CSM,12,5,6,1
BAB,12,6,5,1
NBB,12,7,5,0
CIG,12,3,3,6
BCF,12,9,3,0
TVS,11,7,1,3
ABC,11,7,3,1
OCH,11,5,0,6
GIL,11,5,1,5
LCG,11,6,5,0
VIG,11,6,1,4
DMC,11,6,2,3
TNS,11,5,4,2
FMC,11,6,3,2
CST,11,6,3,2
IFS,11,5,4,2
POM,10,5,2,3
IJC,10,5,4,1
WSS,10,3,3,4
HTG,10,5,3,2
IDV,10,5,3,2
ILB,10,8,0,2
TCO,9,9,0,0
TDG,9,6,2,1
TTA,9,7,0,2
VCF,9,5,2,2
DVN,9,4,3,2
NBC,9,5,3,1
TIP,9,4,4,1
VHG,9,2,4,3
GMC,9,3,2,4
SRF,9,4,2,3
PTX,9,4,2,3
TIS,9,5,2,2
AFX,9,4,2,3
DRC,9,6,1,2
HNA,9,3,2,4
DBT,9,5,3,1
SGN,9,6,2,1
PGT,9,9,0,0
LHC,9,8,1,0
TJC,9,8,1,0
VNA,8,5,2,1
BTT,8,5,3,0
CLL,8,5,2,1
ATS,8,8,0,0
SSG,8,4,4,0
SKG,8,7,1,0
